0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:56:06 +0530] "GET /frontend/clickout HTTP/1.1" 200 4739
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:56:09 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5257
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:56:18 +0530] "POST /frontend/validation HTTP/1.1" 200 4152
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:56:22 +0530] "GET /frontend/selProductView HTTP/1.1" 200 7064
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:03:41 +0530] "GET /frontend/clickout HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:03:53 +0530] "GET /frontend/mycart HTTP/1.1" 200 4153
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:03:54 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:04:03 +0530] "GET /frontend/ HTTP/1.1" 200 4744
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:04:04 +0530] "GET /frontend/image/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:04:04 +0530] "GET /frontend/image/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:04:04 +0530] "GET /frontend/image/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:04:08 +0530] "GET /frontend/selProductView HTTP/1.1" 200 4964
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:05:23 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5122
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:06:34 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5206
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:07:13 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5206
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:07:18 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5364
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:07:27 +0530] "POST /frontend/validation HTTP/1.1" 200 3209
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:08:13 +0530] "POST /frontend/validation HTTP/1.1" 200 4103
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:10:43 +0530] "GET /frontend/mycart HTTP/1.1" 200 6602
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:10:43 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:10:46 +0530] "GET /frontend/regis HTTP/1.1" 200 7141
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:12:16 +0530] "GET /frontend/regis HTTP/1.1" 200 7141
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:12:31 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:14:38 +0530] "GET /frontend/clickout HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:14:40 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5369
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:14:43 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5127
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:14:44 +0530] "GET /frontend/regis HTTP/1.1" 200 5896
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:15:31 +0530] "GET /frontend/regis HTTP/1.1" 200 5896
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:15:36 +0530] "GET /frontend/regis HTTP/1.1" 200 6105
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:15:36 +0530] "GET /frontend/regis HTTP/1.1" 200 6105
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:15:48 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5369
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:15:51 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5127
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:15:56 +0530] "GET /frontend/regis HTTP/1.1" 200 6105
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:15:58 +0530] "GET /frontend/click HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:16:00 +0530] "GET /frontend/click HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:16:01 +0530] "GET /frontend/click HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:17:20 +0530] "GET /frontend/click HTTP/1.1" 200 4749
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:17:22 +0530] "GET /frontend/image/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:17:22 +0530] "GET /frontend/image/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:17:22 +0530] "GET /frontend/image/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:17:25 +0530] "GET /frontend/regis HTTP/1.1" 200 6105
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:17:27 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5127
0:0:0:0:0:0:0:1 - - [12/Apr/2017:15:17:29 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5369
